problem_id,rating,tags
2127_G2,3500.0,"['binary search', 'bitmasks', 'constructive algorithms', 'graphs', 'implementation', 'interactive', 'math', 'probabilities']"
2127_G1,3400.0,"['binary search', 'constructive algorithms', 'interactive', 'probabilities']"
2127_F,2800.0,"['brute force', 'combinatorics', 'dp', 'math', 'probabilities']"
2127_E,2100.0,"['constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'greedy', 'trees']"
2127_D,1800.0,"['combinatorics', 'dfs and similar', 'graphs', 'trees']"
2127_C,1400.0,"['games', 'greedy', 'sortings']"
2127_B,1300.0,"['games', 'greedy']"
2127_A,800.0,"['constructive algorithms', 'greedy', 'math']"
2126_G2,2400.0,"['binary search', 'data structures', 'divide and conquer', 'dsu', 'trees', 'two pointers']"
2126_G1,2200.0,"['binary search', 'data structures', 'dp', 'dsu', 'two pointers']"
2126_F,2000.0,"['brute force', 'data structures', 'dfs and similar', 'graphs', 'implementation', 'trees']"
2126_E,1400.0,"['math', 'number theory']"
2126_D,1200.0,"['data structures', 'greedy', 'sortings']"
2126_C,1100.0,"['greedy', 'sortings']"
2126_B,800.0,"['dp', 'greedy']"
2126_A,800.0,"['brute force', 'implementation', 'math']"
2125_F,3000.0,"['binary search', 'divide and conquer', 'dp']"
2125_E,2500.0,"['brute force', 'combinatorics', 'dp', 'math', 'two pointers']"
2125_D,1600.0,"['dp', 'math', 'probabilities']"
2125_C,1100.0,"['bitmasks', 'combinatorics', 'math', 'number theory']"
2125_B,900.0,"['math', 'number theory']"
2125_A,800.0,"['constructive algorithms', 'implementation', 'sortings', 'strings']"
2124_I,3500.0,"['constructive algorithms', 'math', 'trees']"
2124_H,3400.0,"['dp', 'math', 'trees']"
2124_G,3200.0,"['binary search', 'data structures']"
2124_F2,2800.0,"['combinatorics', 'dp']"
2124_F1,2300.0,"['combinatorics', 'dp']"
2124_E,2100.0,"['constructive algorithms', 'greedy', 'math']"
2124_D,1700.0,"['greedy', 'sortings', 'two pointers']"
2124_C,1300.0,"['constructive algorithms', 'greedy', 'math', 'number theory']"
2124_B,1000.0,['greedy']
2124_A,800.0,"['greedy', 'sortings']"
2123_G,2100.0,"['brute force', 'data structures', 'greedy', 'math', 'number theory', 'sortings']"
2123_F,1700.0,"['constructive algorithms', 'number theory']"
2123_E,1400.0,"['binary search', 'data structures', 'greedy', 'sortings', 'two pointers']"
2123_D,1200.0,"['constructive algorithms', 'games', 'greedy']"
2123_C,1000.0,"['brute force', 'data structures']"
2123_B,800.0,['greedy']
2123_A,800.0,['math']
2122_G,3300.0,"['combinatorics', 'fft', 'math', 'trees']"
2122_F,3400.0,"['constructive algorithms', 'divide and conquer', 'geometry']"
2122_E,2600.0,"['combinatorics', 'dp', 'greedy', 'math']"
2122_D,2400.0,"['brute force', 'data structures', 'divide and conquer', 'dp', 'graphs', 'greedy', 'shortest paths']"
2122_C,1700.0,"['constructive algorithms', 'geometry', 'greedy', 'math', 'sortings']"
2122_B,1100.0,"['greedy', 'math']"
2122_A,800.0,"['constructive algorithms', 'greedy']"
2121_H,2300.0,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'sortings']"
2121_G,1900.0,"['data structures', 'divide and conquer', 'math', 'sortings']"
2121_F,1800.0,"['binary search', 'brute force', 'data structures', 'greedy', 'two pointers']"
2121_E,1500.0,"['dp', 'greedy', 'implementation', 'strings']"
2121_D,1300.0,"['implementation', 'sortings']"
2121_C,1200.0,"['greedy', 'greedy', 'implementation']"
2121_B,800.0,"['constructive algorithms', 'greedy', 'strings']"
2121_A,800.0,"['brute force', 'math']"
2120_G,3000.0,"['graphs', 'greedy', 'math']"
2120_F,2600.0,"['2-sat', 'graphs']"
2120_E,2300.0,"['binary search', 'dp', 'ternary search']"
2120_D,1800.0,"['combinatorics', 'math']"
2120_C,1400.0,"['constructive algorithms', 'greedy', 'math', 'sortings', 'trees']"
2120_B,1000.0,['geometry']
2120_A,800.0,"['geometry', 'math']"
2119_F,3300.0,"['dfs and similar', 'dp', 'greedy', 'shortest paths', 'trees']"
2119_E,2600.0,"['bitmasks', 'dp', 'greedy']"
2119_D,2100.0,"['combinatorics', 'dp', 'math']"
2119_C,1300.0,"['bitmasks', 'constructive algorithms', 'math']"
2119_B,1200.0,"['geometry', 'greedy', 'math']"
2119_A,800.0,"['bitmasks', 'greedy', 'math']"
2118_F,3100.0,"['data structures', 'graphs', 'hashing', 'trees']"
